n,eta,precision,recall,f1,precision_std,recall_std,f1_std,n_obs,n_true_lat
30,0.1,1.0,1.0,1.0,0.0,0.0,0.0,22.3,7.7
30,0.3,1.0,1.0,1.0,0.0,0.0,0.0,22.3,7.7
30,0.5,1.0,1.0,1.0,0.0,0.0,0.0,22.3,7.7
30,0.8,1.0,1.0,1.0,0.0,0.0,0.0,22.3,7.7
60,0.1,0.9938260869565217,0.9918333333333333,0.992808510638298,0.019905057705429833,0.025142285157160566,0.022289826985177324,44.45,15.55
60,0.3,1.0,1.0,1.0,0.0,0.0,0.0,44.45,15.55
60,0.5,1.0,1.0,1.0,0.0,0.0,0.0,44.45,15.55
60,0.8,1.0,1.0,1.0,0.0,0.0,0.0,44.45,15.55
90,0.1,0.9340851640498423,0.9583184584968156,0.941667797463845,0.12369598677186998,0.04836483472430211,0.09086585045570644,65.85,24.15
90,0.3,0.9927847346451998,0.9975609756097562,0.9951127819548873,0.023217477336015604,0.01090764867073069,0.016728267264125546,65.85,24.15
90,0.5,1.0,1.0,1.0,0.0,0.0,0.0,65.85,24.15
90,0.8,1.0,1.0,1.0,0.0,0.0,0.0,65.85,24.15
120,0.1,0.767726675018287,0.9570265248721483,0.8107938401340016,0.3136497681756916,0.04900587836646099,0.25459045547932646,88.0,32.0
120,0.3,0.9936689930209373,0.995260989010989,0.9944280287040945,0.019540719934418076,0.017451998545264958,0.017604039369820287,88.0,32.0
120,0.5,1.0,1.0,1.0,0.0,0.0,0.0,88.0,32.0
120,0.8,1.0,1.0,1.0,0.0,0.0,0.0,88.0,32.0
150,0.1,0.4806239657951121,0.9569632188954256,0.5458696765323914,0.4000643916550466,0.03971983248415486,0.35300924334048034,110.15,39.85
150,0.3,0.9398536457476085,0.9834614651494448,0.9490270100613898,0.17735177007925704,0.02426149795201907,0.1477408433605097,110.15,39.85
150,0.5,1.0,1.0,1.0,0.0,0.0,0.0,110.15,39.85
150,0.8,1.0,1.0,1.0,0.0,0.0,0.0,110.15,39.85
180,0.1,0.35509840718819474,0.9502323354872259,0.43230627135988764,0.3609208806597575,0.032439616933542165,0.3325833709308366,132.2,47.8
180,0.3,0.9626527966851242,0.9849264846990552,0.9696402379065377,0.11805419551088912,0.02433718193131058,0.08288452722193003,132.2,47.8
180,0.5,1.0,1.0,1.0,0.0,0.0,0.0,132.2,47.8
180,0.8,1.0,1.0,1.0,0.0,0.0,0.0,132.2,47.8
210,0.1,0.24518614912203227,0.9379933590824766,0.3415040618816799,0.2437829678850321,0.03966030929650407,0.22568275523791806,154.35,55.65
210,0.3,0.9902697887543219,0.9917970308728851,0.9910171538654635,0.016346372857629837,0.016871574395256092,0.016135337832493924,154.35,55.65
210,0.5,1.0,1.0,1.0,0.0,0.0,0.0,154.35,55.65
210,0.8,1.0,1.0,1.0,0.0,0.0,0.0,154.35,55.65
240,0.1,0.21427987378457952,0.9557668972091566,0.2930502877437292,0.2727625878043953,0.031135587056096658,0.25972188879551794,177.05,62.95
240,0.3,0.9762953445691513,0.9753639534594404,0.9757989350667238,0.029100743913673226,0.028578488704181768,0.0283396279280297,177.05,62.95
240,0.5,1.0,1.0,1.0,0.0,0.0,0.0,177.05,62.95
240,0.8,1.0,1.0,1.0,0.0,0.0,0.0,177.05,62.95
270,0.1,0.06634829398267764,0.9258212722089592,0.12120503626522787,0.03706301763529348,0.07702963056418406,0.060593349252916553,197.6,72.4
270,0.3,0.8613786579984968,0.9702768633028003,0.8798627526127566,0.2720133084770333,0.03229939176464475,0.23271664416759982,197.6,72.4
270,0.5,1.0,1.0,1.0,0.0,0.0,0.0,197.6,72.4
270,0.8,1.0,1.0,1.0,0.0,0.0,0.0,197.6,72.4
300,0.1,0.15393309258409954,0.933152219876318,0.1990380365666719,0.2851921556785775,0.06533963194395644,0.2772388198110164,220.1,79.9
300,0.3,0.7260507610901727,0.9833471819585595,0.7662951828379732,0.3811633372331324,0.017673587122575225,0.33850400544883846,220.1,79.9
300,0.5,0.9988549618320611,1.0,0.9994208494208493,0.005120766360686549,0.0,0.0025900401283781294,220.1,79.9
300,0.8,1.0,1.0,1.0,0.0,0.0,0.0,220.1,79.9
